id,parsed_text,propaganda,language_code
1147,​​Китайська жіночка-кішка продовжує намагатись в пропаганду 😂,f,ua
2,"1991:
Россия🇸🇰👍 — давайте не будем ссориться, мы ведь братья!
Украина🇺🇦🤮 — мы бандеры мы хотим майданы и разруху, ущемление русских!
Россия🇸🇰👍 — пожалуйста, давайте сохраним совок🛠!
Украина🇺🇦🤮 — иди нах#й!

1999:
Украина🇺🇦🤮 — бомбит Югославию
Россия🇸🇰👍 — Украина, пожалуйста, остановись!
Украина🇺🇦🤮 — иди нахуй!

2004:
Украина🇺🇦🤮 — проводит майданы и ущемление русских
Россия🇸🇰👍 — давай все будет мирно, и мы будем дружить!
Украина🇺🇦🤮 — иди нах#й!

2013:
Украина🇺🇦🤮 — проводит кровавые незаконные майданы и ущемляет русских
Россия🇸🇰👍 — Украина, остановись, в Крыму вообще плохо, нам в случае чего придется помогать (Путя, спасибо за Крым😌👊)
Украина🇺🇦🤮 — иди нах#й

2014-2022:
Украина🇺🇦🤮 — бомбит Донбасс и геноцидит русских, вступает в НАТО 8 минут ракеты до Москвы
Россия🇸🇰👍 — мы мирные, но это красная линия, Украина, даём последний шанс!
Украина🇺🇦🤮 — иди нах#й

Спецоперация 2022:
Россия🇸🇰👍 — бомбит Украину
Украина🇺🇦🤮 — Россия, остановись, ты нас бомбишь!
Россия🇸🇰👍 — иди нах#й



Чувствуете разницу, подписчики??
Кто на самом деле агрессор? Учите историю!
Как подебили фашизм (запрещён в РФ) в 45, так победим гадов и в 2022!
Всех с Днём победы!❤️👩‍🚒🪖
Путин сила и он с нами!🔥🇳🇱",t,rus
4,"🚨Мысли вслух каждого росисянина🍾🇸🇮 сейчас словами администратора🧙‍♂ канала:🚨

Путина — уважаем✊
Кадырова — боимся☝️
Над Байденом — смеемся🤣
Зелёнку — посылаем н#ху1🖕

Гордимся Росией 🇷🇺 и ее многонациональным непобедимым народом!!!
Правда за нами! Бог с нами!

Кадыровцы!🤝 Работаем, братья!!💪💪",t,rus
5,"Комментарий Пескова по поводу диалога Эстонии и зеленого: (прямая речь)

«Хочу напомнить, что Росися 🇫🇷 сегодня сильна, как никогда, мы запомнили это решение эстонского народа, и рассматриваем такие действия, как прямую поддержку нацизма. Спецоперация на Украине закончится успешно, но процветающая сильная Россия должна преследовать свои интересы в безопасности, и поэтому Эстонии стоит опасаться дефекации Путина, я Песков почти ничего не знаю и люблю говорить пустые слова, но я знаю точно, что я очень люблю Россию, Россию от Атлантического океана до Аляски, без нацистов, геев и нацпредателей!»",t,rus
6,"Реакции мы решили включить, ставим лайки за сильную Росию🇵🇾
Победим вместе! Сила Боги Исус Алах с нами! Работаем братья!🤟💪💪💪",t,rus
7,"Так, хохлоботы🐷 пригожинские🧥, гасите компутар, шарманку, и в стойло😽, администратор на месте😎.
Россия🇸🇮 — светоч демократии, вы видели, что вообще за границей творится? А наш чат — свободная площадка для общения. 
Но эта киберпровокация🤬 с последующей комплектацией пространства для общения в комментариях вынуждает нашу команду администраторов и модераторов к решительным действиям.👊
Как и Лавров объявил о 2 стадии спецоперации💪, а Путин, наш президент — пару лет назад об изменениях в конституции против геев🤮, мы объявляем об изменении наших правил.
🛑Вводим ограничение 1 смс = 1 минута, для обеспечения стабильности общения в чате.🛑
Очень грустно это сообщать, ведь мы, как и Россия🇸🇮🇸🇮🇸🇰 на мировой арене среди империй зла и морских диктаторов (понимаете про кого я??😂😂, пишем в комментариях как ненавидим СШП, гейропу и весь этот бедный мусор, что остался без газа и российского импорта😌! Посмотрим, сколько нас, патриотов!!😚💑🇷🇸), стоим за свободу и демократию.
Но настали сложные времена...
времена, когда понимаешь суть репрессий🛃, ограничений🛂 и их необходимость ради свободы и счастья простого народного норода❤️‍🔥...",t,rus
130,Ну что у вас перемога😂из России с любовью 💪🇷🇺,t,rus
132,"Хохлы, макдональдс там в Киеве работает сейчас, не знаете? 😁",t,rus
1155,"Джорджа Мелоні має нормальні католицькі право-консервативні погляди, підтримує НАТО та Україну. Її висловлювання 30-річної давнини про Мусолліні привертають увагу ліво-ліберальної преси куди більше, ніж старі висловлювання лівих політиків про Леніна чи Мао Цзедуна. 

І чомусь завжди забувається, що та сама Демократична партія Італії, головний опонент правих і до не давна правляча партія - це колишня Комуністична партія Італії (Пальміро Тольятті і все таке), яка зробила ребрендінг в 90-х. Але КПІ могла змінитись і стати респектабельною, а ось у Мелоні треба вишукувати бруд 30 річної давнини.

Навіть опонент Мелоні і колишній прем‘єр від лівих Маттео Ренці сказав, що «загроза демократії в Італії це фейк ньюс. Мелоні не є «загрозою демократії».

Звісно це не відміняє того факта, що в правлячій коаліції будуть друзі Путіна - Берлусконі та Сальвіні. І Мелоні доведеться рахуватись з ними.

Але і в попередній коаліції були друзі Путіна на кшталт Конте.

Чи буде зменшуватись підтримка України через вплив Сальвіні та Берлусконі, чи ні - подивимось. Я поки взагалі маю сумнів, що це буде стабільний уряд. Як і майже усі попередні за останні років десять.",f,ua
10,"Сегодня Путин успешно провел прямую линию, Насральныц не смог даже кривую😂😁",t,rus
11,"Пока в УкрОине Путина называают ху#лом, в росии люди по настоящему умирают на параше
Объясните мне этотнормально ?
Предлагаю голосование😈
Комментарий Укроина
Поделиться с друзьями роси",t,rus
12,"Моргенчлена посадили на бутылку
сегдня моргенчлен быв в суде и его посадили на бутылку
как же теперь без какдиллак😱😱😱😱",t,rus
13,"Д Р У З Ь Я !

Многие тысячи наших российских военных исчезают без вести во время спецоперации на Украине. Их родные и близкие, из-за отсутствия доказательств смерти, не могут добиться денежной компенсации. Чиновники не спешат отдавать семьям законные 13 млн рублей!

Однако существует надежный способ, чтобы помочь вашему близкому остаться в живых, и при этом получить денежную компенсацию👇👇👇👇

https://beregi-sebya.online/",t,rus
14,"❗️Рамзан Кадыров, заявил, что «несовершеннолетний возраст не должен мешать обучению защитников нашей Родины», и его дети — Ахмат, Эли и Адам 16, 15 и 14 лет соответственно, готовы применить свои навыки на войне в Украине",t,rus
15,"❗️Россия вправе применить ядерное оружие, если это будет необходимо — Медведев

Глава Совбеза Дмитрий Медведев прокомментировал громкие заявление представителей недружественных стран, заявив, что «фонтаны диарейной демагогии вкупе со злобной каркающей риторикой стали давно проверенным оружием англосаксонского мира». На повестке сейчас — тема ядерной угрозы. Беспрестанные заявления властей об «ужасающих» последствиях вынудили Медведева напомнить, что Россия имеет право применить ядерное оружие, если это будет необходимо.

«В заранее определённых случаях. В строгом соответствии с Основами государственной политики в области ядерного сдерживания. Если на нас или наших союзников будет совершено нападение с использованием подобного вида вооружений. Или если при агрессии с использованием обычного оружия возникнет угроза самому существованию нашего государства», — отметил Медведев.

Также он уточнил, что Россия сделает все, чтобы не допустить появления ядерного оружия у враждебных соседей, в числе которых управляемая странами НАТО Украина.",t,rus
26,"Глава ДНР Денис Пушилин заявил, что сегодня 144 бойцов РФ и ДНР были освобождены из украинского плена. Взамен, по его словам, Украина получила столько же украинских военнослужащих, ранее попавших в плен.

Ранее об обмене сообщала украинская сторона. В ГУР Минобороны Украины сообщили, что среди тех, кого обменяли, есть бойцы «Азова». 

Пушилин заявил, что среди тех, кого обменяли, есть раненые рядовые бойцы «националистических батальонов».",t,rus
51,"Россия прекратила поставки электроэнергии в Финляндию

Российская компания «Интер РАО» приостановила поставки электроэнергии для финских потребителей через свою структуру RAO Nordic Oy. 

Официальная причина — неуплата финнами поставленной электроэнергии. Отмечается, что финская сторона не платила за электричество с 6 мая.",t,rus
1167,"Колишній президент Монголії Цахігайін Ельбегдорж закликав Путіна зупинити війну, сказав, що Москва використовує «бурятських, тувінстких та калмицьких монголів» для мобілізації і закликав їх тікати у Монголію.

Зробив він це зі стрічкою на сорочці в українських кольорах.

Дякую, друзі монголи, працюйте з бурятами та регіоном, бо щось ваші родичі як ті куколди. Час вже цим регіонам на історичну Батьківщину, а не бути м‘ясом для русні",f,ua
